image,psnr_bicubic,ssim_bicubic,psnr_fsrcnn,ssim_fsrcnn,face_sim_bicubic,face_sim_fsrcnn
person2,29.387188761529917,0.90216804,30.37927220093482,0.91888124,,
person3,33.47565386115958,0.9509881,34.208124892671414,0.95337564,0.9982132632974726,0.9976416199014526
